time,open,high,low,close,volume
2026-07-06 00:00:00-04:00,7542.5,7542.5,7539.75,7540.75,0
2026-07-06 00:01:00-04:00,7541.0,7541.5,7540.5,7541.0,98
2026-07-06 00:02:00-04:00,7541.25,7541.25,7540.25,7540.75,92
2026-07-06 00:03:00-04:00,7540.75,7542.25,7539.75,7542.25,138
2026-07-06 00:04:00-04:00,7542.0,7543.5,7542.0,7543.25,267
2026-07-06 00:05:00-04:00,7543.25,7544.0,7542.75,7542.75,304
2026-07-06 00:06:00-04:00,7542.75,7543.25,7541.5,7542.5,132
2026-07-06 00:07:00-04:00,7542.25,7542.5,7541.5,7542.0,77
2026-07-06 00:08:00-04:00,7542.25,7543.0,7542.0,7542.0,96
2026-07-06 00:09:00-04:00,7542.0,7542.0,7540.5,7541.5,116
2026-07-06 00:10:00-04:00,7541.5,7543.75,7541.5,7543.5,169
2026-07-06 00:11:00-04:00,7543.5,7545.0,7543.5,7545.0,237
2026-07-06 00:12:00-04:00,7544.75,7545.75,7544.5,7545.5,188
2026-07-06 00:13:00-04:00,7545.5,7546.25,7545.5,7546.25,224
2026-07-06 00:14:00-04:00,7546.0,7547.0,7545.75,7546.5,194
2026-07-06 00:15:00-04:00,7546.5,7547.25,7546.0,7546.75,215
2026-07-06 00:16:00-04:00,7546.75,7547.5,7546.25,7547.25,187
2026-07-06 00:17:00-04:00,7547.25,7547.25,7545.5,7545.5,173
2026-07-06 00:18:00-04:00,7546.0,7547.25,7545.75,7547.0,148
2026-07-06 00:19:00-04:00,7547.25,7547.5,7546.75,7547.0,129
2026-07-06 00:20:00-04:00,7547.0,7547.5,7546.75,7547.25,137
2026-07-06 00:21:00-04:00,7546.75,7547.0,7546.0,7546.75,105
2026-07-06 00:22:00-04:00,7546.75,7547.5,7546.0,7546.25,137
2026-07-06 00:23:00-04:00,7546.25,7547.75,7546.0,7546.75,196
2026-07-06 00:24:00-04:00,7547.0,7547.75,7547.0,7547.5,68
2026-07-06 00:25:00-04:00,7547.75,7547.75,7546.75,7547.25,106
2026-07-06 00:26:00-04:00,7547.25,7547.75,7546.5,7546.75,102
2026-07-06 00:27:00-04:00,7547.0,7548.75,7547.0,7547.75,225
2026-07-06 00:28:00-04:00,7547.5,7548.0,7546.75,7548.0,81
2026-07-06 00:29:00-04:00,7547.75,7548.25,7547.75,7547.75,80
2026-07-06 00:30:00-04:00,7547.75,7549.25,7547.5,7549.0,242
2026-07-06 00:31:00-04:00,7548.75,7550.0,7548.0,7548.5,432
2026-07-06 00:32:00-04:00,7548.5,7548.5,7547.5,7548.25,118
2026-07-06 00:33:00-04:00,7548.5,7549.25,7548.25,7549.0,198
2026-07-06 00:34:00-04:00,7548.75,7548.75,7547.0,7547.25,225
2026-07-06 00:35:00-04:00,7547.25,7548.5,7547.0,7548.25,159
2026-07-06 00:36:00-04:00,7548.0,7548.5,7547.5,7547.75,94
2026-07-06 00:37:00-04:00,7547.75,7549.75,7547.5,7549.25,273
2026-07-06 00:38:00-04:00,7549.25,7549.75,7549.0,7549.25,142
2026-07-06 00:39:00-04:00,7549.25,7549.75,7549.0,7549.5,114
2026-07-06 00:40:00-04:00,7549.5,7549.5,7548.5,7548.75,106
2026-07-06 00:41:00-04:00,7549.0,7550.0,7549.0,7549.25,180
2026-07-06 00:42:00-04:00,7549.25,7551.25,7549.0,7551.0,249
2026-07-06 00:43:00-04:00,7551.0,7551.5,7550.75,7551.25,159
2026-07-06 00:44:00-04:00,7551.25,7551.75,7550.5,7551.0,158
2026-07-06 00:45:00-04:00,7550.75,7551.5,7550.0,7551.0,140
2026-07-06 00:46:00-04:00,7550.75,7551.5,7550.25,7550.5,94
2026-07-06 00:47:00-04:00,7550.5,7550.75,7549.5,7549.75,146
2026-07-06 00:48:00-04:00,7550.0,7550.5,7549.25,7550.25,101
2026-07-06 00:49:00-04:00,7550.5,7551.5,7550.0,7550.25,101
2026-07-06 00:50:00-04:00,7550.0,7551.25,7549.5,7550.5,141
2026-07-06 00:51:00-04:00,7550.5,7550.75,7549.75,7549.75,76
2026-07-06 00:52:00-04:00,7550.0,7551.0,7550.0,7550.75,32
2026-07-06 00:53:00-04:00,7550.75,7551.0,7550.25,7550.5,104
2026-07-06 00:54:00-04:00,7550.5,7551.25,7549.5,7551.25,100
2026-07-06 00:55:00-04:00,7551.25,7552.0,7551.0,7551.5,103
2026-07-06 00:56:00-04:00,7551.25,7553.0,7551.25,7552.25,275
2026-07-06 00:57:00-04:00,7552.5,7552.5,7551.75,7552.0,198
2026-07-06 00:58:00-04:00,7552.25,7552.5,7551.75,7552.0,178
2026-07-06 00:59:00-04:00,7552.0,7552.5,7551.5,7552.0,91
2026-07-06 01:00:00-04:00,7552.5,7552.75,7551.5,7551.75,125
2026-07-06 01:01:00-04:00,7551.75,7551.75,7550.75,7551.5,121
2026-07-06 01:02:00-04:00,7551.0,7551.25,7550.5,7550.5,157
2026-07-06 01:03:00-04:00,7551.0,7551.25,7550.0,7550.5,208
2026-07-06 01:04:00-04:00,7550.25,7550.5,7549.25,7549.75,202
2026-07-06 01:05:00-04:00,7549.5,7551.5,7549.5,7551.0,172
2026-07-06 01:06:00-04:00,7551.0,7552.0,7550.75,7551.75,106
2026-07-06 01:07:00-04:00,7551.75,7553.75,7551.25,7553.5,289
2026-07-06 01:08:00-04:00,7553.75,7554.0,7551.5,7551.5,265
2026-07-06 01:09:00-04:00,7551.5,7552.0,7551.25,7551.25,89
2026-07-06 01:10:00-04:00,7551.5,7553.0,7551.0,7553.0,143
2026-07-06 01:11:00-04:00,7552.75,7554.0,7552.75,7553.75,170
2026-07-06 01:12:00-04:00,7553.5,7553.5,7552.5,7552.75,65
2026-07-06 01:13:00-04:00,7552.5,7553.0,7552.0,7552.5,52
2026-07-06 01:14:00-04:00,7552.25,7553.0,7552.25,7552.75,61
2026-07-06 01:15:00-04:00,7552.75,7553.5,7552.5,7553.5,129
2026-07-06 01:16:00-04:00,7553.75,7554.5,7553.25,7553.5,107
2026-07-06 01:17:00-04:00,7553.5,7553.75,7553.0,7553.75,52
2026-07-06 01:18:00-04:00,7553.75,7554.25,7553.0,7554.25,39
2026-07-06 01:19:00-04:00,7554.5,7554.5,7554.0,7554.25,86
2026-07-06 01:20:00-04:00,7554.25,7554.75,7552.5,7552.5,133
2026-07-06 01:21:00-04:00,7552.5,7552.5,7549.5,7550.0,340
2026-07-06 01:22:00-04:00,7549.75,7550.5,7549.25,7550.0,271
2026-07-06 01:23:00-04:00,7550.0,7551.25,7549.75,7550.75,207
2026-07-06 01:24:00-04:00,7550.5,7551.25,7550.0,7550.5,173
2026-07-06 01:25:00-04:00,7550.0,7551.0,7549.25,7550.5,218
2026-07-06 01:26:00-04:00,7551.0,7551.75,7550.5,7550.5,110
2026-07-06 01:27:00-04:00,7550.5,7551.25,7548.75,7549.5,231
2026-07-06 01:28:00-04:00,7550.0,7550.5,7549.5,7550.25,86
2026-07-06 01:29:00-04:00,7550.5,7550.5,7548.5,7549.0,200
2026-07-06 01:30:00-04:00,7549.0,7549.0,7546.75,7547.25,419
2026-07-06 01:31:00-04:00,7547.5,7547.75,7545.5,7546.5,198
2026-07-06 01:32:00-04:00,7546.75,7547.5,7546.5,7547.0,144
2026-07-06 01:33:00-04:00,7546.5,7547.0,7545.5,7546.0,115
2026-07-06 01:34:00-04:00,7546.0,7546.25,7544.75,7545.75,145
2026-07-06 01:35:00-04:00,7545.5,7546.75,7545.5,7546.5,139
2026-07-06 01:36:00-04:00,7547.0,7548.0,7546.5,7547.75,245
2026-07-06 01:37:00-04:00,7547.75,7548.5,7547.5,7548.25,172
2026-07-06 01:38:00-04:00,7547.75,7548.5,7547.25,7548.0,94
2026-07-06 01:39:00-04:00,7548.25,7548.25,7547.5,7547.75,67
2026-07-06 01:40:00-04:00,7547.5,7550.25,7547.5,7550.25,368
2026-07-06 01:41:00-04:00,7550.0,7550.5,7549.5,7549.75,166
2026-07-06 01:42:00-04:00,7550.0,7550.5,7549.75,7550.5,216
2026-07-06 01:43:00-04:00,7550.75,7552.0,7550.5,7551.0,237
2026-07-06 01:44:00-04:00,7551.25,7552.0,7550.25,7550.5,63
2026-07-06 01:45:00-04:00,7550.5,7551.0,7549.75,7550.0,110
2026-07-06 01:46:00-04:00,7549.75,7550.0,7549.25,7549.5,182
2026-07-06 01:47:00-04:00,7549.25,7549.75,7548.25,7548.75,147
2026-07-06 01:48:00-04:00,7548.75,7549.0,7548.25,7548.5,102
2026-07-06 01:49:00-04:00,7548.25,7548.75,7548.25,7548.5,70
2026-07-06 01:50:00-04:00,7548.75,7549.75,7548.25,7548.75,120
2026-07-06 01:51:00-04:00,7549.0,7549.75,7549.0,7549.0,44
2026-07-06 01:52:00-04:00,7549.25,7550.5,7549.25,7550.5,114
2026-07-06 01:53:00-04:00,7550.5,7551.0,7550.25,7551.0,100
2026-07-06 01:54:00-04:00,7551.0,7552.5,7550.75,7551.75,199
2026-07-06 01:55:00-04:00,7551.75,7552.25,7551.25,7551.5,117
2026-07-06 01:56:00-04:00,7551.5,7551.75,7551.0,7551.0,65
2026-07-06 01:57:00-04:00,7551.25,7551.25,7550.75,7550.75,43
