time,open,high,low,close,volume
2026-07-07 00:09:00-04:00,7574.0,7574.25,7573.5,7573.75,0
2026-07-07 00:10:00-04:00,7573.75,7574.0,7573.25,7573.75,104
2026-07-07 00:11:00-04:00,7573.75,7573.75,7573.25,7573.75,92
2026-07-07 00:12:00-04:00,7573.5,7573.5,7572.5,7573.25,143
2026-07-07 00:13:00-04:00,7573.25,7573.5,7572.0,7572.25,100
2026-07-07 00:14:00-04:00,7572.25,7573.0,7571.5,7571.75,123
2026-07-07 00:15:00-04:00,7571.75,7572.25,7571.5,7571.75,92
2026-07-07 00:16:00-04:00,7571.75,7572.0,7571.0,7571.0,122
2026-07-07 00:17:00-04:00,7571.0,7571.25,7570.25,7570.5,228
2026-07-07 00:18:00-04:00,7570.75,7571.0,7570.25,7570.75,119
2026-07-07 00:19:00-04:00,7570.5,7570.75,7569.75,7570.75,235
2026-07-07 00:20:00-04:00,7570.75,7571.0,7570.25,7570.5,102
2026-07-07 00:21:00-04:00,7570.5,7570.5,7569.75,7570.5,91
2026-07-07 00:22:00-04:00,7570.5,7571.0,7569.25,7569.75,120
2026-07-07 00:23:00-04:00,7569.75,7570.25,7569.5,7569.75,83
2026-07-07 00:24:00-04:00,7569.75,7570.0,7569.5,7569.75,82
2026-07-07 00:25:00-04:00,7570.0,7570.25,7569.25,7569.5,123
2026-07-07 00:26:00-04:00,7569.5,7571.0,7569.5,7571.0,150
2026-07-07 00:27:00-04:00,7570.75,7570.75,7570.0,7570.75,73
2026-07-07 00:28:00-04:00,7570.75,7571.25,7570.25,7570.5,132
2026-07-07 00:29:00-04:00,7570.75,7571.5,7570.25,7571.25,110
2026-07-07 00:30:00-04:00,7571.5,7571.75,7571.0,7571.25,121
2026-07-07 00:31:00-04:00,7571.5,7573.0,7571.5,7572.25,237
2026-07-07 00:32:00-04:00,7572.0,7572.0,7571.25,7571.25,73
2026-07-07 00:33:00-04:00,7571.0,7572.0,7571.0,7571.5,77
2026-07-07 00:34:00-04:00,7571.5,7571.75,7570.5,7571.0,233
2026-07-07 00:35:00-04:00,7571.0,7571.0,7570.25,7570.25,62
2026-07-07 00:36:00-04:00,7570.25,7570.5,7568.75,7569.25,324
2026-07-07 00:37:00-04:00,7568.75,7569.0,7567.5,7568.5,286
2026-07-07 00:38:00-04:00,7568.5,7569.5,7568.0,7568.75,313
2026-07-07 00:39:00-04:00,7568.75,7570.0,7568.75,7569.25,111
2026-07-07 00:40:00-04:00,7569.0,7569.5,7568.75,7569.5,133
2026-07-07 00:41:00-04:00,7569.5,7570.25,7569.25,7569.5,130
2026-07-07 00:42:00-04:00,7569.25,7569.5,7569.0,7569.25,48
2026-07-07 00:43:00-04:00,7569.25,7569.75,7569.25,7569.25,61
2026-07-07 00:44:00-04:00,7569.25,7569.25,7568.75,7568.75,51
2026-07-07 00:45:00-04:00,7568.75,7569.25,7568.75,7569.0,41
2026-07-07 00:46:00-04:00,7569.0,7569.0,7568.25,7568.75,59
2026-07-07 00:47:00-04:00,7568.75,7568.75,7568.0,7568.0,77
2026-07-07 00:48:00-04:00,7568.25,7568.25,7568.0,7568.0,49
2026-07-07 00:49:00-04:00,7567.75,7568.75,7567.5,7568.0,109
2026-07-07 00:50:00-04:00,7568.25,7568.25,7567.5,7568.0,196
2026-07-07 00:51:00-04:00,7568.0,7569.25,7567.75,7569.0,147
2026-07-07 00:52:00-04:00,7568.75,7568.75,7568.5,7568.5,71
2026-07-07 00:53:00-04:00,7568.25,7568.5,7568.0,7568.0,40
2026-07-07 00:54:00-04:00,7568.0,7568.0,7567.25,7567.75,141
2026-07-07 00:55:00-04:00,7568.0,7568.0,7567.25,7567.5,75
2026-07-07 00:56:00-04:00,7567.25,7567.5,7566.5,7567.25,179
2026-07-07 00:57:00-04:00,7567.25,7567.25,7566.75,7567.25,100
2026-07-07 00:58:00-04:00,7567.5,7568.75,7567.0,7568.25,168
2026-07-07 00:59:00-04:00,7568.25,7569.0,7568.25,7568.5,192
2026-07-07 01:00:00-04:00,7568.75,7568.75,7568.0,7568.25,89
2026-07-07 01:01:00-04:00,7568.0,7568.0,7567.25,7567.25,97
2026-07-07 01:02:00-04:00,7567.25,7567.25,7566.5,7566.75,104
2026-07-07 01:03:00-04:00,7566.75,7567.75,7566.5,7567.25,104
2026-07-07 01:04:00-04:00,7567.0,7567.25,7566.75,7567.0,88
2026-07-07 01:05:00-04:00,7567.0,7567.0,7566.5,7566.75,50
2026-07-07 01:06:00-04:00,7566.5,7567.75,7566.5,7567.25,109
2026-07-07 01:07:00-04:00,7567.0,7567.0,7566.25,7566.5,110
2026-07-07 01:08:00-04:00,7566.5,7567.25,7566.25,7567.0,203
2026-07-07 01:09:00-04:00,7566.75,7566.75,7564.75,7565.5,308
2026-07-07 01:10:00-04:00,7565.5,7566.0,7565.25,7565.5,135
2026-07-07 01:11:00-04:00,7565.5,7566.0,7565.0,7565.75,201
2026-07-07 01:12:00-04:00,7565.5,7566.0,7565.25,7566.0,134
2026-07-07 01:13:00-04:00,7566.25,7566.5,7565.25,7565.75,119
2026-07-07 01:14:00-04:00,7565.5,7565.75,7565.0,7565.25,146
2026-07-07 01:15:00-04:00,7565.25,7565.5,7564.5,7564.75,155
2026-07-07 01:16:00-04:00,7564.5,7565.75,7564.5,7565.5,205
2026-07-07 01:17:00-04:00,7565.5,7566.5,7565.5,7565.75,143
2026-07-07 01:18:00-04:00,7565.5,7565.75,7565.0,7565.25,184
2026-07-07 01:19:00-04:00,7565.25,7565.5,7564.25,7564.75,169
2026-07-07 01:20:00-04:00,7564.5,7565.25,7564.25,7564.5,120
2026-07-07 01:21:00-04:00,7564.5,7564.75,7564.25,7564.5,105
2026-07-07 01:22:00-04:00,7564.5,7566.0,7564.25,7565.75,226
2026-07-07 01:23:00-04:00,7565.75,7566.5,7565.5,7565.75,261
2026-07-07 01:24:00-04:00,7565.75,7566.25,7565.25,7565.5,215
2026-07-07 01:25:00-04:00,7565.5,7565.5,7563.5,7564.75,429
2026-07-07 01:26:00-04:00,7565.0,7565.25,7564.25,7565.0,160
2026-07-07 01:27:00-04:00,7564.75,7565.0,7563.25,7563.25,205
2026-07-07 01:28:00-04:00,7563.25,7564.25,7563.0,7564.25,232
2026-07-07 01:29:00-04:00,7564.25,7566.25,7564.25,7566.0,237
2026-07-07 01:30:00-04:00,7566.0,7567.25,7566.0,7567.25,316
2026-07-07 01:31:00-04:00,7567.25,7569.25,7567.25,7569.25,432
2026-07-07 01:32:00-04:00,7569.25,7570.75,7569.0,7570.5,466
2026-07-07 01:33:00-04:00,7570.25,7570.25,7568.0,7568.5,321
2026-07-07 01:34:00-04:00,7568.5,7569.5,7568.25,7569.25,130
2026-07-07 01:35:00-04:00,7569.0,7570.25,7568.75,7570.0,200
2026-07-07 01:36:00-04:00,7569.75,7570.5,7569.25,7570.0,209
2026-07-07 01:37:00-04:00,7570.25,7571.0,7570.0,7570.25,273
2026-07-07 01:38:00-04:00,7570.5,7570.75,7569.75,7570.25,176
2026-07-07 01:39:00-04:00,7570.0,7570.75,7569.25,7570.5,110
2026-07-07 01:40:00-04:00,7570.25,7571.5,7570.25,7571.5,163
2026-07-07 01:41:00-04:00,7571.5,7572.25,7571.0,7571.0,385
2026-07-07 01:42:00-04:00,7571.0,7572.25,7570.25,7571.75,158
2026-07-07 01:43:00-04:00,7571.5,7571.5,7570.75,7571.0,96
2026-07-07 01:44:00-04:00,7571.0,7571.0,7570.25,7570.75,95
