time,open,high,low,close,volume
2026-08-23 18:10:00-04:00,4675.2998046875,4679.2001953125,4674.7998046875,4678.2998046875,0
2026-08-23 18:11:00-04:00,4678.0,4678.2001953125,4674.89990234375,4675.89990234375,269
2026-08-23 18:12:00-04:00,4676.0,4677.39990234375,4674.60009765625,4674.89990234375,180
2026-08-23 18:13:00-04:00,4675.2001953125,4675.89990234375,4674.0,4675.89990234375,128
2026-08-23 18:14:00-04:00,4676.10009765625,4676.10009765625,4673.60009765625,4675.39990234375,120
2026-08-23 18:15:00-04:00,4675.2001953125,4675.60009765625,4673.2998046875,4675.5,175
2026-08-23 18:16:00-04:00,4675.2998046875,4676.0,4674.39990234375,4674.7001953125,112
2026-08-23 18:17:00-04:00,4674.7998046875,4674.89990234375,4670.39990234375,4671.2001953125,330
2026-08-23 18:18:00-04:00,4671.2001953125,4672.7001953125,4670.89990234375,4672.60009765625,122
2026-08-23 18:19:00-04:00,4672.39990234375,4676.0,4672.0,4676.0,203
2026-08-23 18:20:00-04:00,4675.7998046875,4678.2998046875,4675.2998046875,4678.2998046875,183
2026-08-23 18:21:00-04:00,4678.5,4678.60009765625,4675.2998046875,4675.2998046875,233
2026-08-23 18:22:00-04:00,4675.2001953125,4676.2001953125,4673.39990234375,4673.39990234375,146
2026-08-23 18:23:00-04:00,4673.89990234375,4674.60009765625,4673.39990234375,4674.2001953125,74
2026-08-23 18:24:00-04:00,4674.2001953125,4674.89990234375,4672.7998046875,4674.89990234375,141
2026-08-23 18:25:00-04:00,4674.7001953125,4674.89990234375,4673.7001953125,4673.7998046875,68
2026-08-23 18:26:00-04:00,4674.10009765625,4674.10009765625,4670.2998046875,4670.5,205
2026-08-23 18:27:00-04:00,4670.5,4673.39990234375,4670.0,4672.7001953125,242
2026-08-23 18:28:00-04:00,4672.89990234375,4672.89990234375,4671.5,4671.5,51
2026-08-23 18:29:00-04:00,4671.60009765625,4672.0,4670.89990234375,4671.5,75
2026-08-23 18:30:00-04:00,4671.5,4674.7998046875,4671.0,4673.5,246
2026-08-23 18:31:00-04:00,4672.7001953125,4673.10009765625,4671.7998046875,4672.2998046875,104
2026-08-23 18:32:00-04:00,4671.89990234375,4673.5,4671.7998046875,4673.2001953125,104
2026-08-23 18:33:00-04:00,4673.0,4673.10009765625,4671.7998046875,4672.60009765625,85
2026-08-23 18:34:00-04:00,4672.5,4673.89990234375,4670.89990234375,4671.89990234375,166
2026-08-23 18:35:00-04:00,4672.0,4673.2001953125,4671.2001953125,4671.60009765625,71
2026-08-23 18:36:00-04:00,4671.5,4673.89990234375,4671.2998046875,4672.7001953125,111
2026-08-23 18:37:00-04:00,4672.39990234375,4673.2998046875,4671.5,4671.60009765625,128
2026-08-23 18:38:00-04:00,4671.39990234375,4671.7001953125,4670.2998046875,4670.5,116
2026-08-23 18:39:00-04:00,4670.7998046875,4671.10009765625,4668.60009765625,4668.7001953125,220
2026-08-23 18:40:00-04:00,4668.7998046875,4669.0,4666.2998046875,4667.0,301
2026-08-23 18:41:00-04:00,4666.7001953125,4667.0,4664.10009765625,4664.39990234375,296
2026-08-23 18:42:00-04:00,4664.60009765625,4669.5,4664.2998046875,4669.2001953125,421
2026-08-23 18:43:00-04:00,4669.0,4669.39990234375,4666.7998046875,4667.39990234375,162
